Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
0,-6.6515596,106.8539515,461.329,19.253,19.33,1573087254300000,211,3
58,-6.6515671,106.8539572,461.385,19.206,19.28,1573087254358000,211,3
116,-6.6515747,106.8539629,461.429,19.175,19.23,1573087254416000,211,3
174,-6.6515823,106.8539685,461.476,19.207,19.2,1573087254474000,211,3
232,-6.6515899,106.8539741,461.466,19.126,19.23,1573087254532000,211,3
290,-6.6515976,106.8539793,461.457,19.043,19.15,1573087254590000,211,3
348,-6.6516052,106.8539849,461.455,19.104,19.07,1573087254648000,211,3
406,-6.6516129,106.8539904,461.459,19.084,19.13,1573087254706000,211,3
464,-6.6516205,106.8539958,461.468,19.056,19.11,1573087254764000,211,3
522,-6.6516283,106.8540012,461.496,19.06,19.08,1573087254822000,211,3
580,-6.6516359,106.8540066,461.528,19.048,19.08,1573087254880000,211,3
638,-6.6516436,106.8540119,461.517,18.993,19.07,1573087254938000,211,3
696,-6.6516512,106.8540174,461.545,19.003,19.01,1573087254996000,211,3
754,-6.6516589,106.8540229,461.607,18.99,19.02,1573087255054000,211,3
812,-6.6516666,106.8540285,461.681,19.024,19.01,1573087255112000,211,3
870,-6.6516743,106.854034,461.752,19.036,19.04,1573087255170000,211,3
928,-6.6516897,106.8540453,461.852,19.171,19.06,1573087255228000,211,3
986,-6.6516974,106.8540512,461.886,19.313,19.19,1573087255286000,211,3
1045,-6.6517052,106.8540568,461.921,19.291,19.33,1573087255345000,182,3
1100,-6.6517128,106.8540625,461.968,19.252,19.31,1573087255400000,182,3
1155,-6.6517206,106.8540679,462.014,19.176,19.27,1573087255455000,182,3
1210,-6.6517283,106.8540731,462.008,19.084,19.19,1573087255510000,182,3
1265,-6.6517361,106.8540785,462.042,19.101,19.1,1573087255565000,182,3
1320,-6.6517438,106.854084,462.078,19.099,19.12,1573087255620000,182,3
1375,-6.6517515,106.8540895,462.133,19.055,19.12,1573087255675000,182,3
1430,-6.6517593,106.8540951,462.185,19.113,19.07,1573087255730000,182,3
1485,-6.6517669,106.8541008,462.255,19.127,19.13,1573087255785000,182,3
1540,-6.6517747,106.8541061,462.294,19.142,19.15,1573087255840000,182,3
1595,-6.6517827,106.8541114,462.316,19.171,19.16,1573087255895000,182,3
1650,-6.6517905,106.8541168,462.351,19.142,19.19,1573087255950000,182,3
